tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
"ztf",58675.29668979999,"921296685715010002",1,921296685715,19.958,-1,921,1.343,19.5558,18.917767,"",19.0788,"",0.308798,100,0.17157787,0.1841,"",244.0008955,22.268025,0.424286,"t17_f5_c3","",18.8107,0.1833,"",false,true,false,"","bulk_1.0.0",0,943206495715010000
"ztf",58681.18744210014,"927187445715010001",1,927187445715,19.6475,-1,927,1.08582,19.6806,18.85416,"",19.7931,"",0.358632,100,0.1675227,0.4372,"",244.0009707,22.2680092,0.568571,"t17_f5_c3","",19.5199,0.4349,"",false,true,false,"","bulk_1.0.0",0,943206495715010000
"ztf",58684.19039350003,"930190395715010010",1,930190395715,20.7972,-1,930,1.34518,19.5334,18.930416,"",19.212,"",0.272716,100,0.1565009,0.1099,"",244.0009003,22.2680417,0.61,"t17_f5_c3","",19.1888,0.134,"",false,true,false,"","bulk_1.0.0",0,943206495715010000
"ztf",58691.22704860009,"937227045715010009",1,937227045715,20.8613,-1,937,1.58489,19.519,"","",19.3924,"",0.241579,"","",0.1312,"",244.0008553,22.2681178,0.418571,"t17_f5_c3","",19.1668,0.1325,"",false,false,true,"","bulk_1.0.0",0,943206495715010000
"ztf",58694.21049770014,"940210495715010007",1,940210495715,20.7075,-1,940,1.46506,19.5471,"","",19.4851,"",0.267633,"","",0.1474,"",244.0008607,22.2680374,0.598571,"t17_f5_c3","",19.3654,0.165,"",false,false,true,"","bulk_1.0.0",0,943206495715010000
"ztf",58697.20649310015,"943206495715010011",1,943206495715,20.796768,-1,943,1.5054194,19.497936,"","",19.1939,"",0.1937823,"","",0.1138,"",244.0008719,22.2680979,0.4342857,"t17_f5_c3",0.93512654,19.0131,0.1201,584120157,false,false,true,"","bulk_1.0.0",0,958148025715010000
"ztf",58706.17072919989,"952170725715010003",1,952170725715,20.0021,-1,952,1.58596,19.4088,"","",19.2129,"",0.249016,"","",0.2132,"",244.0008304,22.2680616,0.492857,"t17_f5_c3","",19.0796,0.2403,"",false,false,true,"","bulk_1.0.0",0,958148025715010000
"ztf",58712.1480208002,"958148025715010004",1,958148025715,20.139902,-1,958,1.6821216,19.455275,"","",19.3874,"",0.15860872,"","",0.215,"",244.0008322,22.2681364,0.67714286,"t17_f5_c3",0.99970526,19.386,0.2732,584120157,true,false,true,"","bulk_1.0.0",0,0
"ztf",58724.186481500044,"970186485715010007",1,970186485715,20.5997,-1,970,1.18827,19.3672,19.038702,"",18.9837,"",0.310746,0.11284452,0.22961804,0.106,"",244.0009521,22.2680447,0.514286,"t17_f5_c3","",18.985,0.1329,"",false,true,false,"","bulk_1.0.0",0,995129745715010000
"ztf",58727.15016200021,"973150165715010007",1,973150165715,20.6816,-1,973,1.39513,19.4626,18.97323,"",19.1606,"",0.244633,100,0.15587167,0.1195,"",244.0008827,22.2680279,0.422857,"t17_f5_c3","",19.0647,0.137,"",false,true,false,"","bulk_1.0.0",0,995129745715010000
"ztf",58737.128067099955,"983128065715010003",1,983128065715,19.6252,-1,983,1.65549,19.6125,"","",19.7337,"",0.271521,"","",0.4021,"",244.000882,22.2681974,0.812857,"t17_f5_c3","",19.5451,0.4319,"",false,false,true,"","bulk_1.0.0",0,1004130305715010000
"ztf",58745.133761600126,"991133765715010004",1,991133765715,20.5147,-1,991,1.5271,19.6153,"","",19.3372,"",0.223861,"","",0.1594,"",244.0008521,22.2680711,0.507143,"t17_f5_c3","",19.2004,0.1769,"",false,false,true,"","bulk_1.0.0",0,1004130305715010000
"ztf",58749.129745400045,"995129745715010005",1,995129745715,20.226618,-1,995,1.3094046,19.446144,18.983849,"",19.2634,"",0.20073928,100,0.13113362,0.1628,"",244.0009218,22.2680663,0.89285713,"t17_f5_c3",0.9999555,19.2634,0.2057,584120157,false,true,false,"","bulk_1.0.0",0,1024114905715010000
"ztf",58758.13030089997,"1004130305715010004",1,1004130305715,19.983616,-1,1004,1.2412179,19.494427,18.953428,"",19.5035,"",0.20941468,100,0.12723538,0.2414,"",244.0009309,22.2680343,0.8142857,"t17_f5_c3",0.99990153,19.6833,0.3616,584120157,false,true,false,"","bulk_1.0.0",0,1024114905715010000
"ztf",58772.11709489999,"1018117095715010004",1,1018117095715,19.5222,-1,1018,0.839893,19.5564,18.917433,"",18.9858,"",0.289545,100,0.1607419,0.2047,"",244.0010332,22.2679178,0.418571,"t17_f5_c3","",18.8293,0.2265,"",false,true,false,"","bulk_1.0.0",0,1024114905715010000
"ztf",58778.11490740022,"1024114905715010008",1,1024114905715,19.552816,-1,1024,0.8840029,19.410841,19.007545,"",19.2789,"",0.20254849,100,0.13970469,0.2412,"",244.0010196,22.2679237,0.80142856,"t17_f5_c3",0.9838397,19.3066,0.3154,584120157,true,true,false,"","bulk_1.0.0",0,0
"ztf",58852.52667819988,"1098526675715010010",1,1098526675715,20.165037,-1,1098,1.0994419,19.3817,19.02811,"",19.069,"",0.20926693,100,0.15110008,0.1269,"",244.0009542,22.2679268,0.7,"t17_f5_c3",0.9998071,19.1181,0.168,584120157,false,true,false,"","bulk_1.0.0",0,1125519035715010000
"ztf",58873.54960650019,"1119549605715010014",1,1119549605715,20.7131,-1,1119,1.22307,19.4797,18.962475,"",19.1565,"",0.258784,100,0.16071162,0.1042,"",244.0009206,22.2679727,0.567143,"t17_f5_c3","",19.0823,0.1217,"",false,true,false,"","bulk_1.0.0",0,1140561565715010000
"ztf",58876.53898150008,"1122538985715020009",1,1122538985715,20.7071,-1,1122,1.28602,19.4762,18.964655,"",19.2835,"",0.257469,100,0.16073354,0.1249,"",244.0009102,22.2680142,0.631429,"t17_f5_c3","",19.1053,0.1326,"",false,true,false,"","bulk_1.0.0",0,1140561565715010000
"ztf",58879.51903939992,"1125519035715010017",1,1125519035715,20.30597,-1,1125,1.4392804,19.480982,"","",19.2237,"",0.16674839,"","",0.1276,"",244.0008678,22.2680342,0.76857144,"t17_f5_c3",0.99999404,19.1384,0.1486,584120157,false,false,true,"","bulk_1.0.0",0,1140561565715010000
"ztf",58885.46498840023,"1131464985715010004",1,1131464985715,19.2612,-1,1131,0.632142,19.4986,18.950901,"",19.2167,"",0.325284,0.06754059,0.1964188,0.2589,"",244.0011018,22.2678806,0.442857,"t17_f5_c3","",19.3367,0.3699,"",false,true,false,"","bulk_1.0.0",0,1157539745715010000
"ztf",58891.47646989999,"1137476465715010008",1,1137476465715,19.6286,-1,1137,1.07992,19.521,18.937595,"",19.2865,"",0.322189,0.04738532,0.18825604,0.2742,"",244.0009652,22.2678697,0.537143,"t17_f5_c3","",19.3931,0.3867,"",false,true,false,"","bulk_1.0.0",0,1157539745715010000
"ztf",58894.56156249996,"1140561565715010005",1,1140561565715,19.95854,-1,1140,1.6939515,19.576551,"","",19.3319,"",0.20748074,"","",0.2074,"",244.0008186,22.2681179,0.88285714,"t17_f5_c3",0.99994135,19.2464,0.2441,584120157,false,false,true,"","bulk_1.0.0",0,1157539745715010000
"ztf",58904.54976850003,"1150549765715010012",1,1150549765715,20.3056,-1,1150,1.05693,19.3924,19.02045,"",19.0697,"",0.22149,100,0.15724388,0.1096,"",244.0009809,22.2680086,0.551429,"t17_f5_c3","",19.0815,0.1393,"",false,true,false,"","bulk_1.0.0",0,1157539745715010000
"ztf",58911.539745400194,"1157539745715010013",1,1157539745715,20.428627,-1,1157,1.3080397,19.415216,19.004538,"",19.1432,"",0.21083342,100,0.14443357,0.1132,"",244.0008935,22.2679646,0.64285713,"t17_f5_c3",0.99998605,19.0804,0.1344,584120157,true,true,false,"","bulk_1.0.0",0,0
"ztf",58939.44296299992,"1185442965715010006",1,1185442965715,19.6061,-1,1185,1.61447,19.3643,"","",19.395,"",0.242188,"","",0.3315,"",244.000833,22.268092,0.81,"t17_f5_c3","",19.9883,0.7295,"",false,false,true,"","bulk_1.0.0",0,1208373175715010000
"ztf",58943.43958330015,"1189439585715010007",1,1189439585715,20.0676,-1,1189,1.33899,19.4792,18.962786,"",19.2476,"",0.235206,100,0.14617811,0.1831,"",244.000903,22.2680438,0.82,"t17_f5_c3","",19.3273,0.2504,"",false,true,false,"","bulk_1.0.0",0,1208373175715010000
"ztf",58956.395740699954,"1202395745715010012",1,1202395745715,20.272,-1,1202,1.07427,19.4908,18.955637,"",18.9085,"",0.341371,0.09574224,0.20852654,0.1277,"",244.0009637,22.2679544,0.335714,"t17_f5_c3","",18.7528,0.1396,"",false,true,false,"","bulk_1.0.0",0,1231310325715010000
"ztf",58962.37317130016,"1208373175715010017",1,1208373175715,20.579176,-1,1208,1.2628603,19.366224,19.039425,"",19.0862,"",0.20061105,100,0.14846866,0.1031,"",244.0009189,22.2680189,0.66571426,"t17_f5_c3",0.99999475,18.9897,0.1182,584120157,false,true,false,"","bulk_1.0.0",0,1233407815715010000
"ztf",58965.39810189977,"1211398105715010020",1,1211398105715,20.8775,-1,1211,1.2595,19.4654,18.97145,"",19.1696,"",0.227042,100,0.14405431,0.0996,"",244.0009122,22.267992,0.402857,"t17_f5_c3","",19.1683,0.1235,"",false,true,false,"","bulk_1.0.0",0,1238333555715010000
"ztf",58974.45949070016,"1220459495715010004",1,1220459495715,19.697,-1,1220,1.36737,19.7131,18.839306,"",19.6859,"",0.309716,100,0.13849875,0.3746,"",244.000873,22.2679342,0.81,"t17_f5_c3","",19.7737,0.5194,"",false,true,false,"","bulk_1.0.0",0,1238333555715010000
"ztf",58980.39908559993,"1226399085715010004",1,1226399085715,19.8818,-1,1226,1.62165,19.48,"","",19.3329,"",0.243861,"","",0.2163,"",244.0008423,22.2681168,0.551429,"t17_f5_c3","",19.1034,0.2231,"",false,false,true,"","bulk_1.0.0",0,1238333555715010000
"ztf",58985.310324099846,"1231310325715010004",1,1231310325715,20.705278,-1,1231,1.3764335,19.464008,18.972336,"",19.2532,"",0.21081597,100,0.13403994,0.1158,"",244.00089,22.2680358,0.68142855,"t17_f5_c3",0.9921769,19.2402,0.1428,584120157,false,true,false,"","bulk_1.0.0",0,1238333555715010000
"ztf",58986.3826156999,"1232382615715010004",1,1232382615715,20.9305,-1,1232,1.36571,19.4666,18.97069,"",19.178,"",0.232138,100,0.14702195,0.1004,"",244.000884,22.2680092,0.417143,"t17_f5_c3","",19.1532,0.1219,"",false,true,false,"","bulk_1.0.0",0,1238333555715010000
"ztf",58987.40781249991,"1233407815715010006",1,1233407815715,21.075674,-1,1233,1.4379358,19.473276,"","",19.1088,"",0.18986787,"","",0.0854,"",244.0008713,22.2680434,0.43857142,"t17_f5_c3",0.99475706,19.0527,0.0998,584120157,false,false,true,"","bulk_1.0.0",0,1238333555715010000
"ztf",58991.31590279983,"1237315905715010005",1,1237315905715,20.614521,-1,1237,1.3823795,19.534803,18.929611,"",19.444,"",0.20873995,100,0.11954417,0.138,"",244.0008867,22.2680368,0.8385714,"t17_f5_c3",0.99996686,19.5162,0.1846,584120157,false,true,false,"","bulk_1.0.0",0,1266222335715010000
"ztf",58992.33355320012,"1238333555715010005",1,1238333555715,20.53827,-1,1238,1.5230137,19.317797,"","",19.1451,"",0.18972076,"","",0.094,"",244.0008434,22.2680406,0.6314286,"t17_f5_c3",0.99862367,18.9676,0.0996,584120157,false,false,true,"","bulk_1.0.0",0,1266222335715010000
"ztf",58993.26928240014,"1239269285715010003",1,1239269285715,20.69516,-1,1239,1.4260757,19.440819,"","",19.2538,"",0.20243323,"","",0.118,"",244.0008785,22.268053,0.49,"t17_f5_c3",0.999932,19.1369,0.1324,584120157,false,false,true,"","bulk_1.0.0",0,1269237295715010000
"ztf",58994.41594910016,"1240415945715010003",1,1240415945715,20.588976,-1,1240,1.4591616,19.441412,"","",19.1478,"",0.16646652,"","",0.1083,"",244.0008666,22.2680496,0.8257143,"t17_f5_c3",0.99996936,19.1058,0.1306,584120157,false,false,true,"","bulk_1.0.0",0,1269237295715010000
"ztf",58995.31540510012,"1241315405715010004",1,1241315405715,20.8296,-1,1241,1.38788,19.4735,18.966343,"",19.0893,"",0.244886,100,0.15349762,0.0946,"",244.0008806,22.2680225,0.505714,"t17_f5_c3","",18.9648,0.1051,"",false,true,false,"","bulk_1.0.0",0,1269237295715010000
"ztf",58998.36307869991,"1244363075715010006",1,1244363075715,20.9999,-1,1244,1.30559,19.4089,19.008886,"",19.0385,"",0.219232,100,0.15166979,0.0825,"",244.0009075,22.2680256,0.461429,"t17_f5_c3","",19.0518,0.1032,"",false,true,false,"","bulk_1.0.0",0,1269237295715010000
"ztf",58999.27018520003,"1245270185715010003",1,1245270185715,20.263771,-1,1245,1.3335406,19.506536,18.946136,"",19.3322,"",0.20373364,100,0.12159137,0.1603,"",244.0008979,22.2680273,0.85714287,"t17_f5_c3",0.9999572,19.3389,0.204,584120157,false,true,false,"","bulk_1.0.0",0,1269237295715010000
